ID,PAPER_TYPE,CHEMICAL,CHEMICAL_FAMILY,NAME,ASSAY_ENDPOINT_DESCRIPTION,ASSAY_COMPONENT_NAME,ASSAY_COMPONENT_DESCRIPTION,DESCRIPTION,SEQAPASS,GENE_SYMBOL,GENE_URL,GENE_NAME,AOP,EVENT,HIT_CALL,CONTINUOUS_HIT_CALL,TOP,SCALED_TOP,AC50,LOGAC50,CUTOFF,ACC,AC10,BMR,BMD,BMAD,MAX_MED_CONC,NORMALIZED_DATA_TYPE,ASSAY_SOURCE,ASSAY_NAME,ASSAY_DESC,ASSAY_FUNCTION_TYPE,FLAGS,STOCK_CONC,STOCK_CONC_UNITS,ORGANISM,CELL_LINE,CELL_FORMAT,CONCENTRATION,RESPONSE,CYTOTOX_BURST,INTENDED_TARGET_FAMILY,INTENDED_TARGET_TYPE,INTENDED_TARGET_TYPE_SUB,INTENDED_TARGET_FAMILY_SUB,BIOLOGICAL_PROCESS_TARGET,DETECTION_TECHNOLOGY_TYPE,TISSUE,SAMPLE_ID,REPR,DOI,TOXICITY_DOMAIN,REFERENCE,URL_COMPTOX
81,ICE,Deltamethrin,Pyrethroid,AR Binding and Transactivation,AR agonist potency,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Binding and Transactivation,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
82,PARC,Cypermethrin,Pyrethroid,hNNF assay (hiPSC-derived neural network formation),"Effects of cypermethrin on neural network activity and formation (MEA): assessment of spike-, burst-, and network parameters; BMC calculation for most sensitive endpoint (MSE)",hNNF assay,"Chronic exposure of hiPSC-derived neurons and human astrocytes in defined co-culture to cypermethrin (0.027–20µM); weekly measurements; endpoints—network activity, cytotoxicity (LDH assay)",Assessment of developmental neurotoxicity by quantifying compound effects on spontaneous electrical activity and function of developing human neural networks,-,-,-,-,“Voltage-gated sodium channel modulation → impaired neural network function → behavioral impairment”; based on pharmacological MoA for pyrethroids,"Reduced neural network parameters (most sensitive: network burst duration, mean firing rate, etc.) reflecting voltage-gated sodium channel disruption",Positive—altered at least 1 network parameter (no cytotoxicity at hit concentration); “hit” if BMC50 for neural metric not overlapping with cytotoxicity,-,-,-,-,-,Benchmark response (BMR50): 50% change from baseline; BMC50 calculated as point of departure,-,-,"50% (BMR50 for reduction, BMR50ind for induction)","BMC50 for cypermethrin (hNNF, MSE): 11.72 µM (network burst frequency, Table 2)",-,20µM (no cytotoxicity observed),"Area under curve (AUC) normalized to solvent control, MEA activity metrics","IUF-Leibniz Research Institute for Environmental Medicine, Germany; DNTOX GmbH; NeuCyte Inc., USA",hNNF assay,"Weekly exposure of hiPSC-derived neuron:astrocyte networks to cypermethrin (0.027–20 µM), 35 days; MEA-based functional and cytotoxicity endpoints; BMC modeling","Functional neurotoxicity profiling (MEA, electrophysiology, network function)",“Positive” if BMC50 for network parameter observed without cytotoxicity,20,mM,human,"hiPSC-derived glutamatergic neurons, GABAergic neurons, and primary human astroglia","co-culture: 52% glutamatergic, 22% GABAergic, 26% astrocyte;","0.027, 0.082, 0.247, 0.74, 2.22, 6.67, 20µM","Concentration-dependent reduction in network parameters (most sensitive: burst frequency, BMC50 = 11.72µM)",No overt cytotoxicity at relevant concentrations (LDH assay negative for cell death),"Voltage-gated sodium channels, neuronal firing networks","Ion channel modulator, neurodevelopmental toxicant",Sodium channel subtype interference ,-,"Neural network formation, synaptic activity, network bursting/firing",Multi-electrode array (MEA) for extracellular electrical activity,In vitro model for developing human brain (mixed neuron/astrocyte culture),-,"2–3 independent experiments, 3 technical replicates each ",doi:10.14573/altex.2206031  ,-,-,-
83,BioStudies,Cypermethrin,Pyrethroid,Effect on neural network development in rat cortical cultures as measured by 17 electrophysiological network parameters,Screening for developmental neurotoxicity (DNT) via perturbation of neural network function using MEA; viability measured by Alamar Blue/LDH,Effect on neural network development in rat cortical cultures,Screening for developmental neurotoxicity (DNT) via perturbation of neural network function using MEA; viability measured by Alamar Blue/LDH,-,-,-,-,-,Disruption of neural network development (general DNT context),"
Network development disruption; reduced neural activity",Active,-,-,-,"26,25 μM",-,-,-,-,-,-,-,30μM,Network activity values normalized to plate controls,"Frank et al., US EPA Integrated Systems Toxicology Division",Microelectrode array-based neural network formation assay,"Rat cortical cells cultured and exposed to cypermethrin, monitored for spontaneous activity, synchrony, and cell viability as network formed (12DIV)",Functional neurotoxicity screening,-,30,mM,rat,Primary cortical neurons (plus glia),primary mixed cells,"0.03μM, 0.1μM, 0.3μM, 1μM, 3μM, 10μM, 30μM",Cypermethrin disrupts neural network activity in a concentration-dependent manner; specific network parameters altered at sub-cytotoxic concentrations,Cytotoxicity (Alamar Blue/LDH) measured at DIV12 for highest concentrations; network effects observed below cytotoxic concentrations,-,-,-,-,"Neural network development, synaptic function, neural coordination","Electrophysiology, metabolic activity, enzymatic lysis",brain,-,-,https://doi.org/10.1093/toxsci/kfx169,DNT,-,-
84,BioStudies,Cypermethrin,Pyrethroid, Neural network development; identification of toxicological tipping points where network recovery fails.,"9 primary network activity parameters: mean firing rate (MFR), number of active electrodes (#AE), burst rate (BR), number of actively bursting electrodes (#ABE), percent of spikes in bursts (%SiB), number of network spikes (#NS), percent of spikes in network spikes (%SiNS), Pearson correlation (r), mutual information (MI)", Neural network development; identification of toxicological tipping points where network recovery fails.,"Parameters reflect spontaneous spiking, bursting, synchrony, and connectivity in developing networks recorded using MEAs.",-,-,-,-,-,network function disruption as an early key event for developmental neurotoxicity (DNT),Disruption of spontaneous neural network formation and function during early in vitro development,Active,-,-,-,-,-,-,-,-,-,-,-,30μM ,"Z-scored, plate-normalized fold-change vs. controls for each network paramete",US EPA Integrated Systems Toxicology Division,Microelectrode Array Neural Network Development Assay (mwMEA),Medium-throughput assay quantifying disruption of network development in primary rat cortical cultures by monitoring electrical activity over 12 days in vitro,"Functional, physiological neurotoxicity screening",-,-,-,rat,Primary mixed cortical neuron culture,primary culture,Tipping point (critical concentration) at 0.283 μM (DIV9 to DIV12); 95% CI: 0.188 – 0.379 μM,Concentration-dependent irrecoverable disruption of neural network activity and formation observed,Tipping point at 0.283 μM is below the cytotoxicity threshold (≥50% loss of cell viability) indicating functional disruption precedes cytotoxicity,"Nervous system related targets (likely ion channel modulators, consistent with pyrethroid MoA)",Voltage-gated sodium channel modulator ,-,-,Neural network formation; developmental neurotoxicity screening,Microelectrode array (MEA) extracellular electrophysiology,brain,-,-,https://doi.org/10.1016/j.taap.2018.01.017,DNT,-,-
85,Lit_review,Cypermethrin,Pyrethroid,WST-test and total ATP measure,"The total ATP assay measures cell viability by quantifying the amount of adenosine triphosphate (ATP), a marker of metabolically active living cells. The WST test (Water-soluble Tetrazolium salt assay) is a colorimetric assay to assess cell viability and proliferation. It uses tetrazolium salts (e.g., WST-1 or WST-8) that are reduced by mitochondrial dehydrogenases in viable cells to produce a water-soluble formazan dye. The amount of dye produced correlates with the number of metabolically active cells and is quantified by measuring absorbance using a spectrophotometer. ",-,-,-,-,-,-,-,-,cytotoxicity (low total ATP and mitocondrial metabolic activity),Active,-,-,-,-,-,-,-,-,-,-,-,100μM,-,-,Total ATP and WST-test,"The total ATP assay measures cell viability by quantifying the amount of adenosine triphosphate (ATP), a marker of metabolically active living cells. It utilizes the bioluminescent reaction catalyzed by the enzyme luciferase in the presence of ATP and luciferin, producing light proportional to ATP concentration. As ATP is rapidly depleted in dead or dying cells, the luminescent signal directly correlates with the number of viable cells. The WST test (Water-soluble Tetrazolium salt assay) is a colorimetric assay to assess cell viability and proliferation. It uses tetrazolium salts (e.g., WST-1 or WST-8) that are reduced by mitochondrial dehydrogenases in viable cells to produce a water-soluble formazan dye. The amount of dye produced correlates with the number of metabolically active cells and is quantified by measuring absorbance using a spectrophotometer.",viability ,-,-,-,human ,SH-SY5Y,cell line ,0.1-100μM,"There was induction of enzyme activities with WST-1 test with all pyrethroid compounds studied at low concentrations. With the ATP assay, exposure to 0.1-100μM of natural pyrethrin, as well as of permethrin and cypermethrin showed dose-dependent cytotoxicity. The most toxic pyrethroid was cypermethrin followed by permethrin and natural pyrethrin.",-,-,-,-,cytotoxicity,cell death,"Luminescence (total ATP), photometry (WST-test), microscopy (morphological changes)",brain,-,-,10.1016/j.etap.2003.11.005,-,-,-
86,Lit_review,Cypermethrin,Pyrethroid,WST-test and total ATP measure,"The proliferation of the breast cancer cell line, MCF7, was studied after a 7-day exposure to various concentrations of pyrethrin, permethrin and cypermethrin. The effects of oestradiol and the combined effects of oestradiol (0.10 nM) and pyrethroids (0.1-100 microM) on MCF7 cell proliferation were also evaluated. The total ATP assay measures cell viability by quantifying the amount of adenosine triphosphate (ATP), a marker of metabolically active living cells. The WST test (Water-soluble Tetrazolium salt assay) is a colorimetric assay to assess cell viability and proliferation. It uses tetrazolium salts (e.g., WST-1 or WST-8) that are reduced by mitochondrial dehydrogenases in viable cells to produce a water-soluble formazan dye. The amount of dye produced correlates with the number of metabolically active cells and is quantified by measuring absorbance using a spectrophotometer. ",-,-,-,-,-,-,-,-,cytotoxicity (low total ATP and mitocondrial metabolic activity),Active,-,-,-,-,-,-,-,-,-,-,-,100μM,-,-,Total ATP and WST-test,"The total ATP assay measures cell viability by quantifying the amount of adenosine triphosphate (ATP), a marker of metabolically active living cells. It utilizes the bioluminescent reaction catalyzed by the enzyme luciferase in the presence of ATP and luciferin, producing light proportional to ATP concentration. As ATP is rapidly depleted in dead or dying cells, the luminescent signal directly correlates with the number of viable cells. The WST test (Water-soluble Tetrazolium salt assay) is a colorimetric assay to assess cell viability and proliferation. It uses tetrazolium salts (e.g., WST-1 or WST-8) that are reduced by mitochondrial dehydrogenases in viable cells to produce a water-soluble formazan dye. The amount of dye produced correlates with the number of metabolically active cells and is quantified by measuring absorbance using a spectrophotometer.",viability ,-,-,-,human ,MCF7,cell line ,0.1-100μM,"n the ATP test, low concentrations (0.1-1 microM) of pyrethroids in co-exposure with oestradiol caused a clear statistically significant increase in the proliferation of MCF7 cells. This was evident when compared to the proliferative effect caused by 0.1 nM oestradiol alone. High concentrations were cytotoxic, and the greatest cell toxicity was that of cypermethrin, which has a cyano group in its molecular structure.",-,mitochondrial metabolic enzymes,-,-,cytotoxicity,cell proliferation and toxicity,"Luminescence (total ATP), photometry (WST-test)",breast ,-,-,10.1177/026119290403200410,-,-,-
87,Lit_review,Cypermethrin,Pyrethroid,"Effects on neuronal network formation, transcriptomic and metabolomic changes related to developmental neurotoxicity","Functional neuronal networks grown in vitro, assessed for network activity, gene expression (RNA-seq), and metabolomic changes after chemical exposure",Rat primary cortical neural networks cultured on microelectrode arrays (MEAs),"Effects of cypermethrin on network activity via MEA recordings over 12 days, coupled with transcriptomic and metabolomic profiling at the end of exposure",-,-,"SOX2, PRODH, ATXN1, CREB1, etc.",-," SOX2 (transcription factor), PRODH (proline dehydrogenase), ATXN1 (ataxin 1), CREB1 (cAMP response element binding protein 1), ETC.",-,-,Active,-,-,-,-,-,-,-,-,-,-,-,10 µM,-,-,Neural Network Formation Assay (NFA),Multiparametric assay measuring development of neuronal network function via electrophysiology combined with transcriptomic and metabolomic profiling following chemical exposure,developmental,-,30,mM,rat,Primary neocortical cultures,primary culture,0.03-10 µM,"Concentration-dependent decreases in multiple parameters of network activity (e.g., mean firing rate, bursting activity), changes in gene expression and metabolomic profiles indicating disruption of neuronal development",-,-,-,-,neural network function and development,"Neuronal network formation,","Electrophysiology  (MEA), RNA sequencing (RNA-seq), gas chromatography-mass spectrometry (GC-MS)",brain,-,-,10.1093/toxsci/kfab151,-,-,-
88,Lit_review,Cypermethrin,Pyrethroid,WST-test and total ATP measure,"The total ATP assay measures cell viability by quantifying the amount of adenosine triphosphate (ATP), a marker of metabolically active living cells. The WST test (Water-soluble Tetrazolium salt assay) is a colorimetric assay to assess cell viability and proliferation. It uses tetrazolium salts (e.g., WST-1 or WST-8) that are reduced by mitochondrial dehydrogenases in viable cells to produce a water-soluble formazan dye. The amount of dye produced correlates with the number of metabolically active cells and is quantified by measuring absorbance using a spectrophotometer. ",-,-,-,-,-,-,-,-,cytotoxicity (low total ATP and mitocondrial metabolic activity),Active,-,-,-,-,-,-,-,-,-,-,-,100μM,-,-,Total ATP and WST-test,"The total ATP assay measures cell viability by quantifying the amount of adenosine triphosphate (ATP), a marker of metabolically active living cells. It utilizes the bioluminescent reaction catalyzed by the enzyme luciferase in the presence of ATP and luciferin, producing light proportional to ATP concentration. As ATP is rapidly depleted in dead or dying cells, the luminescent signal directly correlates with the number of viable cells. The WST test (Water-soluble Tetrazolium salt assay) is a colorimetric assay to assess cell viability and proliferation. It uses tetrazolium salts (e.g., WST-1 or WST-8) that are reduced by mitochondrial dehydrogenases in viable cells to produce a water-soluble formazan dye. The amount of dye produced correlates with the number of metabolically active cells and is quantified by measuring absorbance using a spectrophotometer.",viability ,-,-,-,human ,SH-SY5Y,cell line ,0.1-100μM,"There was induction of enzyme activities with WST-1 test with all pyrethroid compounds studied at low concentrations. With the ATP assay, exposure to 0.1-100μM of natural pyrethrin, as well as of permethrin and cypermethrin showed dose-dependent cytotoxicity. The most toxic pyrethroid was cypermethrin followed by permethrin and natural pyrethrin.",-,mitochondrial metabolic enzymes,-,-,cytotoxicity,cell death,"Luminescence (total ATP), photometry (WST-test), microscopy (morphological changes)",brain,-,-,10.1016/j.etap.2003.11.005,-,-,-
89,Lit_review,Cypermethrin,Pyrethroid,"DNA damage (strand breaks, as measured by comet assay).","Alkaline comet assay measuring DNA strand breaks (genotoxicity) in human peripheral lymphocytes exposed in vitro to cypermethrin at multiple concentrations, scored for DNA damage categories and total comet score (TCS)",Alkaline comet assay,Quantification of DNA migration (comet tail) in lymphocytes as an indicator of DNA strand breaks post-exposure to cypermethrin.,-,-,-,-,-,-,genotoxicty (DNA strand breaks),Active,-,-,-,-,-,-,-,-,-,-,-,10 µM,"Total comet score (TCS),",-,In vitro alkaline comet assay,"Primary human lymphocytes exposed to cypermethrin at 1, 5, and 10 µM; DNA migration scored by comet assay after 1-hour exposure",genotoxicity,-,-,-,human ,Peripheral blood lymphocytes,primary culture,"1, 5, and 10 µM",DNA damage as mean total comet score with SD; significant increase at 10 µM only,No,-,-,-,genotoxicity,DNA repair/strand break induction,Fluorescence,peripheral lymphocytes,-,-,10.1002/tox.20569,-,-,-
90,Lit_review,Cypermethrin,Pyrethroid,VGCC-mediated Ca2+2+ influx.,"Inhibition of voltage-gated calcium channel (VGCC)-mediated Ca2+2+ influx in PC12 cells after subchronic (24 h) and repeated (24 h + acute) exposure to cypermethrin, measured as reduction in K++-evoked intracellular Ca2+2+ increase using Fura-2 fluorescence imaging.",-,-,-,-,-,-,-,Calcium influx inhibition in neurons,Inhibition of neuronal calcium signaling via VGCCs,Active,-,-,-,"Subchronic (24 h): 0.93 µM
Repeated (24 h + acute): 0.097 µM
",-,-,-,-,IC20 (20% inhibition):Subchronic: 0.25 µM; Repeated: 0.006 µM; Acute: 0.006 µM,-,-,11 µM,Net Ca2+2+ influx normalized to % control.,-,Fura-2-based single-cell calcium imaging VGCC inhibition assay in PC12 cells.,,Assay measures the reduction in high-K++-evoked Ca2+2+ influx in PC12 cells after exposure,-,-,-,rat,PC12,cell line ,"0.001, 0.01, 0.1, 1, 10 µM","cypermethrin inhibited VGCC-mediated Ca2+ influx at subchronic and repeated exposure, with significant effects starting at 1 µM for subchronic and 0.006 µM for repeated",-,Ion channel,Voltage-gated calcium channel,"L-, N-, P/Q-type VGCCs",-,Neuronal calcium influx; synaptic signaling,Fluorescence,adrenal medulla,-,-,10.1093/toxsci/kfv154,-,-,-
91,Lit_review,Cypermethrin,Pyrethroid,Genotoxic effects measured by cytokinesis-block micronucleus cytome (CBMN-cyt) assay,"Cytogenetic markers of DNA damage, chromosomal instability, and cell division alteration. Micronuclei indicate chromosomal breaks or loss, nuclear buds indicate gene amplification or excision, irregular nuclei indicate nuclear abnormality.","Micronucleus formation (BNMn), nuclear buds (BNBud), binucleated cells with irregular nuclei (BNIrr), binucleated cells with micronucleus + bud (BNMn + BNBud), nucleoplasmic bridges (BNBridge).",-,-,-,-,-,-,-,"Chromosomal breakage, micronucleus formation, and mitotic dysfunction as key events ",Active,-,-,-,-,-,-,-,-,-,-,-,175 μg/mL (≈ 420 μM),frequencies,-,CBMN-cyt assay,"Micronucleus and nuclear anomaly frequency quantification after 72-hour in vitro exposure of bovine lymphocytes to cypermethrin at five concentrations, using established CBMN protocols",genotoxicity,-,-,-,bovine,Peripheral blood lymphocytes,primary culture,"10.9, 21.8, 43.7, 87.5, 175.0 μg/mL x 72h",cypermethrin induced significant increases in BNMn and BNIrr at 87.5 and 175 μg/mL,-,-,-,-,genotoxicity,"Chromosome segregation, DNA repair, cell cycle progression",Microscopy,peripheral blood,-,-,10.1016/j.chemosphere.2019.125341,-,-,-
92,Lit_review,Cypermethrin,Pyrethroid,"MTT assay, Western Blot (WB)",Viability assay and quantification of proteins implicated in cell death regulation,-,-,-,-,-,-,-,-,-,Active (mixture of substances),-,-,-,-,-,-,-,-,-,-,-,3 µM,-,-,MTT and WB," MTT assays measure cellular metabolic activity to assess cell viability and proliferation by detecting a color change, while Western Blotting detects and quantifies specific proteins within a complex biological sample using gel electrophoresis and antibodies. ",viability ,-,100,mM,human ,SH-SY5Y,cell line ,"CM (1.75, 2.5, 3 µM) or CPF+CM (17.5+1.75, 25+2.5, 30+3.0 µM) X 24 hr","It was found that chlorpyrifos (CPF) and its mixture with cypermethrin (CPF+CM) induced cell death of SH-SY5Y cells in a dose- and time-dependent manner, as shown by MTT assays. Pesticideinduced SH-SY5Y cell death was characterized by concentration-dependent down-regulation of Bcl-2 and Bcl-xL as well as an increase in the caspase 3 activation. Pan-caspase inhibitor Q-VD-OPh produced a slight but significant reversal effect of pesticide-induced toxicity indicating that the major caspase pathways are not integral to CPF- and CPF+CM-induced cell death. Furthermore, signal transduction inhibitors PD98059, SL-327, SB202190, SP600125 and mecamylamine failed to attenuate pesticides effect",-,-,-,-,cytotoxicity,cell death,Colorimetry,brain,-,-,10.1111/bcpt.12285,-,-,-
93,Lit_review,Cypermethrin,Pyrethroid, Colony Forming Ability (CFA) assay,"in vitro technique to assess the long-term survival, proliferation, and cytotoxic effects of chemical treatments on cells. The assay measures the ability of a single viable cell to undergo unlimited division and form a colony consisting of at least 50 cells. This ability reflects the reproductive viability and proliferative capacity of the cells following exposure to a test compound.",-,-,-,-,-,-,-,-,cell cycle arrest,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,colony forming ability (CFA) assay + cell cycle analysis by flow cytometry + microscopic evaluation of the mitotic index.,"CFA assay is a widely used in vitro technique to assess the long-term survival, proliferation, and cytotoxic effects of chemical treatments on cells. The assay measures the ability of a single viable cell to undergo unlimited division and form a colony consisting of at least 50 cells. This ability reflects the reproductive viability and proliferative capacity of the cells following exposure to a test compound.",viability ,-,-,-,hamster,V79,cell line ,3.1–100 mg/ml,"The colony forming ability (CFA) resulted in distinct differences of the cytotoxic effect of the tested pyrethroids, whereby permethrin was found to be most toxic. With the exception of fenvalerate all tested pyrethroids gave rise to inhibition of cell cycle progression as shown by G2/M-arrest of synchronized V79 cells by flow cytometry as well as by the increase of the mitotic index as evaluated by light microscopy. ",-,-,-,-,cytotoxicity,cell cycle,Fllow-cytometry and microscopy,lung,-,-,https://doi.org/10.1016/S0378-4274(99)00034-X,-,-,-
94,Lit_review,Cypermethrin,Pyrethroid,MTT and LDH release assays,MTT assay to assess cell viability/cytotoxicity and LDH release assay for membrane integrity. Confocal and light microscopy used for morphological assessment.,-,-,-,-,-,-,-,-,cytotoxicity ,Active,-,-,-, 23.7 ng/mL,-,-,-,-,-,-,-,200 ng/mL ,-,-,"MTT assay, LDH release, EROD activity (CYP1A), microscopy",MTT: Mitochondrial function and cell viability. LDH: Membrane damage/cell lysis during apoptosis/necrosis. EROD: Measurement of CYP1A induction indicating biotransformation/phase I metabolic capacity. Microscopy: Morphological characterization of cellular/subcellular alterations,"viability, cytotoxicity, and enzyme induction",-,10,mg/mL,trout,RTG-2,cell line ," 6.25, 12.5, 25, 50, 100, 200 ng/mL for toxicity assays; IC50 for microscopy/EROD (105.3 ng/mL)","IC50 (MTT, cypermethrin): 23.7 ng/mL (most cytotoxic of all tested pyrethroids). LDH release: 88.02 ± 11.98% (but not dose-dependent). EROD activity (CYP1A) at IC50: 33.42 ± 0.14 pmol/min/mg; maximal fold induction vs control: 4.28 ± 0.02. Morphological effects: Fragmented cytoskeleton, condensed nuclei, pyknotic nuclei, shrinkage, micronucleus formation, loss of normal cell structure at IC50.",-,-,-,-,-,-,Colorimetric (MTT/LDH); Fluorometric (EROD); Microscopy,Gonadal/mixed testis-ovary cells,-,-,https://doi.org/10.1080/15569543.2017.1366922,-,-,-
95,Lit_review,Cypermethrin,Pyrethroid,Genotixicity and chromosomal damage with the cytokinesis-block method to assess micronulie formation after exposure to pyrethroids,"The cytokinesis-block method with 6 μg/ml cytochalasin B (Cyt-B) is a widely used technique in the cytokinesis-block micronucleus (CBMN) assay to assess chromosomal damage and genotoxicity. Cytochalasin B is a drug that inhibits actin polymerization, specifically blocking the formation of the contractile ring required for cytokinesis (the final step of cell division where the cytoplasm divides). By adding Cyt-B to cultured cells at a concentration of about 6 μg/ml, cytokinesis is prevented while nuclear division proceeds normally, resulting in the accumulation of binucleated cells, i.e., cells with two nuclei.",-,,-,-,-,-,-,-,micronucleus formation (MN) and cytotoxicity,Active,-,-,-,-,-,-,-,-,-,-,-,200  μg/mL,-,-,cytokinesis-block micronucleus (CBMN) assay,"It is a well-established cytogenetic assay that detects chromosomal damage by scoring micronuclei in binucleated cells, providing sensitive measurement of genetic damage caused by chemical agents such as insecticides in human lymphocyte cultures",viability ,-,-,-,human ,whole blood and lymfocytes,peripheral blood lymphocytes ,10-200  μg/mL,"At the concentration ranges tested, all the five pyrethroids induced clear dose dependent cytotoxic effects, fenpropathrin being the most toxic. Nuclear division index (NDI) and the newly introduced index of cytotoxicity, the cytokinesis block proliferation index (CBPI), reflected the dose dependency more accurately than the percentage of binucleated cells did.",-,-,-,-,cytotoxicity,cell cycle/proliferation,Fluorescence,blood,-,-, 10.1016/0165-1218(95)90007-1,-,-,-
